Date,Open,High,Low,Close,Volume
2017-02-02 12:39:00,797.83,797.99,797.665,797.81,4900
2017-02-02 12:40:00,797.53,797.97,797.52,797.74,10700
2017-02-02 12:41:00,797.65,797.7199,797.16,797.5,1919
2017-02-02 12:42:00,797.39,797.44,797.39,797.42,400
2017-02-02 12:43:00,797.38,797.4069999999999,797.2510000000001,797.4069999999999,2700
2017-02-02 12:44:00,797.535,797.72,797.44,797.44,3500
2017-02-02 12:45:00,797.98,797.98,797.56,797.63,1599
2017-02-02 12:46:00,797.79,797.93,797.79,797.895,1710
2017-02-02 12:47:00,797.39,797.66,797.39,797.6,1226
2017-02-02 12:48:00,797.5743,797.5743,797.39,797.39,300
2017-02-02 12:49:00,797.431,797.431,797.43,797.43,277
2017-02-02 12:50:00,797.55,797.55,797.55,797.55,100
2017-02-02 12:51:00,797.43,797.54,797.3,797.54,1225
2017-02-02 12:52:00,797.06,797.28,797.06,797.28,1416
2017-02-02 12:53:00,797.1621,797.21,797.04,797.07,400
2017-02-02 12:54:00,796.5,797.08,796.5,797.08,1170
2017-02-02 12:55:00,796.7,796.8962,796.68,796.75,2444
2017-02-02 12:56:00,796.77,796.77,796.77,796.77,100
2017-02-02 12:57:00,796.73,796.8379,796.68,796.8,500
2017-02-02 12:58:00,796.98,796.98,796.96,796.96,600
2017-02-02 12:59:00,796.97,797.01,796.96,796.97,1100
2017-02-02 13:00:00,797.04,797.13,796.87,797.0699,1400
2017-02-02 13:01:00,797.065,797.065,797.065,797.065,100
2017-02-02 13:02:00,797.095,797.24,797.095,797.095,700
2017-02-02 13:03:00,797.17,797.29,797.09,797.29,1500
2017-02-02 13:04:00,797.1,797.1796,797.06,797.1796,600
2017-02-02 13:05:00,797.1,797.1,797.0,797.0,200
2017-02-02 13:06:00,797.04,797.2199,797.03,797.11,2800
2017-02-02 13:07:00,797.22,797.22,797.04,797.04,1700
2017-02-02 13:08:00,797.0,797.09,797.0,797.08,1000
2017-02-02 13:09:00,796.88,797.0,796.88,797.0,1600
2017-02-02 13:10:00,796.8481,796.88,796.8481,796.88,700
2017-02-02 13:11:00,796.5826,796.9016,796.5401,796.8481,2457
2017-02-02 13:12:00,797.0801,797.36,796.84,796.9387,2801
2017-02-02 13:13:00,797.12,797.12,796.98,797.01,700
2017-02-02 13:14:00,797.0541,797.3199,797.0541,797.3199,555
2017-02-02 13:15:00,797.1022,797.25,797.03,797.03,833
2017-02-02 13:16:00,797.39,797.39,797.06,797.19,1200
2017-02-02 13:17:00,797.25,797.25,797.21,797.25,444
2017-02-02 13:18:00,797.45,797.45,797.23,797.23,1200
2017-02-02 13:19:00,797.235,797.235,797.02,797.1,1900
2017-02-02 13:20:00,797.26,797.27,797.08,797.22,1500
2017-02-02 13:21:00,797.225,797.3,797.18,797.26,1200
2017-02-02 13:22:00,797.0,797.225,797.0,797.225,2150
2017-02-02 13:23:00,796.61,797.0,796.61,797.0,1800
2017-02-02 13:24:00,796.52,796.7610000000001,796.45,796.61,1800
2017-02-02 13:25:00,796.4519,796.71,796.33,796.7,1500
